trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
140,False,"{'a': 0.2, 'e': 0.8599999999999999}",25,0,-66.84267942630865,"{0: 17, 1: 3, 2: 3, 3: 2, 4: 0}",0
141,False,"{'a': 0.2, 'e': 0.8589999999999999}",20,0,-44.974614225345505,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
142,False,"{'a': 0.2, 'e': 0.8579999999999999}",25,0,-9.080059794875877,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
143,False,"{'a': 0.2, 'e': 0.8569999999999999}",30,0,-123.91944541536986,"{0: 22, 1: 1, 2: 4, 3: 1, 4: 2}",0
144,False,"{'a': 0.2, 'e': 0.8559999999999999}",30,0,-253.64151947989578,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 6}",0
145,False,"{'a': 0.2, 'e': 0.8549999999999999}",20,0,-34.72804515100905,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
146,False,"{'a': 0.2, 'e': 0.8539999999999999}",30,0,-149.74752145230363,"{0: 20, 1: 0, 2: 7, 3: 1, 4: 2}",0
147,False,"{'a': 0.2, 'e': 0.8529999999999999}",25,0,-55.962732161272896,"{0: 16, 1: 3, 2: 6, 3: 0, 4: 0}",0
148,False,"{'a': 0.2, 'e': 0.8519999999999999}",25,0,-126.53580917774696,"{0: 15, 1: 4, 2: 3, 3: 1, 4: 2}",0
149,False,"{'a': 0.2, 'e': 0.8509999999999999}",20,0,-104.84218877528518,"{0: 12, 1: 4, 2: 2, 3: 0, 4: 2}",0
150,False,"{'a': 0.2, 'e': 0.8499999999999999}",20,0,-110.94699098684477,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
151,False,"{'a': 0.2, 'e': 0.8489999999999999}",25,0,-35.54337180855541,"{0: 21, 1: 2, 2: 1, 3: 0, 4: 1}",0
152,False,"{'a': 0.2, 'e': 0.8479999999999999}",25,0,-116.74116889531315,"{0: 18, 1: 1, 2: 3, 3: 1, 4: 2}",0
153,False,"{'a': 0.2, 'e': 0.8469999999999999}",20,0,-90.6594688296319,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
154,False,"{'a': 0.2, 'e': 0.8459999999999999}",20,0,-27.165001895462098,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
155,False,"{'a': 0.2, 'e': 0.8449999999999999}",25,0,-97.8771678491799,"{0: 19, 1: 0, 2: 4, 3: 0, 4: 2}",0
156,False,"{'a': 0.2, 'e': 0.8439999999999999}",30,0,-72.0917398962915,"{0: 20, 1: 1, 2: 9, 3: 0, 4: 0}",0
157,False,"{'a': 0.2, 'e': 0.8429999999999999}",20,0,-73.37336497339057,"{0: 13, 1: 1, 2: 4, 3: 2, 4: 0}",0
158,False,"{'a': 0.2, 'e': 0.8419999999999999}",30,0,-125.79463275552402,"{0: 20, 1: 3, 2: 5, 3: 0, 4: 2}",0
159,False,"{'a': 0.2, 'e': 0.8409999999999999}",20,0,-31.533653998663965,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
160,False,"{'a': 0.2, 'e': 0.8399999999999999}",30,0,-163.2678507281139,"{0: 19, 1: 5, 2: 2, 3: 1, 4: 3}",0
161,False,"{'a': 0.2, 'e': 0.8389999999999999}",20,0,3.6917463835930624,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
162,False,"{'a': 0.2, 'e': 0.8379999999999999}",30,0,-282.512822005572,"{0: 16, 1: 0, 2: 8, 3: 1, 4: 5}",0
163,False,"{'a': 0.2, 'e': 0.8369999999999999}",30,0,-93.14343933889036,"{0: 21, 1: 3, 2: 4, 3: 1, 4: 1}",0
164,False,"{'a': 0.2, 'e': 0.8359999999999999}",30,18,-3.965901442550238,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
165,False,"{'a': 0.2, 'e': 0.8349999999999999}",20,12,-5.775885374442441,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
166,False,"{'a': 0.2, 'e': 0.8339999999999999}",20,0,-138.23157932621518,"{0: 11, 1: 2, 2: 3, 3: 2, 4: 2}",0
167,False,"{'a': 0.2, 'e': 0.8329999999999999}",20,0,-121.28166319382346,"{0: 14, 1: 0, 2: 2, 3: 2, 4: 2}",0
168,False,"{'a': 0.2, 'e': 0.8319999999999999}",30,0,-143.72735365417103,"{0: 18, 1: 7, 2: 1, 3: 2, 4: 2}",0
169,False,"{'a': 0.2, 'e': 0.8309999999999998}",25,0,-18.037137845600316,"{0: 20, 1: 3, 2: 2, 3: 0, 4: 0}",0
170,False,"{'a': 0.2, 'e': 0.8299999999999998}",20,0,-54.89197402053286,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
171,False,"{'a': 0.2, 'e': 0.8289999999999998}",25,0,-161.2690360493267,"{0: 16, 1: 2, 2: 3, 3: 1, 4: 3}",0
172,False,"{'a': 0.2, 'e': 0.8279999999999998}",25,0,-79.82113876744202,"{0: 17, 1: 1, 2: 6, 3: 0, 4: 1}",0
173,False,"{'a': 0.2, 'e': 0.8269999999999998}",20,0,-13.259061240760861,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
174,False,"{'a': 0.2, 'e': 0.8259999999999998}",20,0,-42.93688187862417,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 1}",0
175,False,"{'a': 0.2, 'e': 0.8249999999999998}",25,0,-115.27798574625346,"{0: 14, 1: 2, 2: 8, 3: 0, 4: 1}",0
176,False,"{'a': 0.2, 'e': 0.8239999999999998}",20,0,-93.32036883086093,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
177,False,"{'a': 0.2, 'e': 0.8229999999999998}",20,0,-151.9682146800572,"{0: 10, 1: 2, 2: 3, 3: 4, 4: 1}",0
178,False,"{'a': 0.2, 'e': 0.8219999999999998}",20,0,-117.81630565763231,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
179,False,"{'a': 0.2, 'e': 0.8209999999999998}",20,14,-30.55473020159499,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 1}",1
180,False,"{'a': 0.2, 'e': 0.8199999999999998}",25,1,-73.65835345137015,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 1}",1
181,False,"{'a': 0.2, 'e': 0.8189999999999998}",20,0,-78.20285653316562,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
182,False,"{'a': 0.2, 'e': 0.8179999999999998}",25,0,-158.44882515162988,"{0: 12, 1: 3, 2: 8, 3: 0, 4: 2}",0
183,False,"{'a': 0.2, 'e': 0.8169999999999998}",25,0,-74.5064776668514,"{0: 17, 1: 4, 2: 3, 3: 0, 4: 1}",0
